Date,Open,High,Low,Close,Volume,Adj Close
2007-01-16,95.68,97.250003,95.450002,97.099999,311019100,12.634775
2007-01-17,97.56000300000001,97.599998,94.820001,94.949997,411565000,12.355014
2007-01-18,92.099998,92.109999,89.050002,89.070003,591151400,11.589901
2007-01-19,88.629999,89.650002,88.120001,88.500003,341118400,11.515732
2007-01-22,89.139997,89.159998,85.649998,86.789997,363506500,11.293224
2007-01-23,85.73,87.51,85.510001,85.699999,301856100,11.151392
2007-01-24,86.680001,87.149999,86.080001,86.700002,231953400,11.281514
2007-01-25,87.109998,88.500003,86.03,86.249998,226493400,11.222959
2007-01-26,87.109998,87.369997,84.990003,85.379998,246718500,11.109753
2007-01-29,86.299999,86.650001,85.530002,85.939998,225416100,11.182621000000001
2007-01-30,86.430002,86.489997,85.250002,85.550002,144492600,11.131875
2007-01-31,84.86,85.999999,84.350001,85.73,214017300,11.155296
2007-02-01,86.229998,86.269999,84.739997,84.739997,166085500,11.026475999999999
2007-02-02,84.120003,85.250002,83.7,84.749997,155382500,11.027777
2007-02-05,84.3,85.230001,83.939999,83.939999,144713100,10.922379
2007-02-06,84.449997,84.46999699999999,82.860001,84.149997,216098400,10.949703999999999
2007-02-07,84.479998,86.38000100000001,83.550003,86.150002,266706300,11.209947
2007-02-08,85.429999,86.509997,85.409999,86.180003,169757700,11.213851
2007-02-09,85.880003,86.199997,83.210002,83.270003,215135200,10.835198
2007-02-12,84.430003,85.18,83.629998,84.88,181017900,11.044692999999999
2007-02-13,85.16,85.290003,84.3,84.70000300000001,145246500,11.021272
2007-02-14,84.63000100000001,85.639997,84.57,85.300003,126995400,11.099344
2007-02-15,85.44,85.619997,84.77999799999999,85.210001,90915300,11.087633
2007-02-16,85.250002,85.409999,84.660002,84.829999,99967000,11.038186999999999
2007-02-20,84.650002,86.160003,84.159997,85.899997,154425600,11.177416000000001
2007-02-21,85.97999899999999,89.489999,85.959998,89.199999,288828400,11.606817
2007-02-22,90.800002,90.810002,88.529997,89.509999,209556200,11.647153999999999
2007-02-23,89.159998,90.339998,88.849998,89.070003,129473400,11.589901
2007-02-26,89.84,89.999997,87.610003,88.510003,153962200,11.517033999999999
2007-02-27,86.299999,87.07999699999999,83.41,83.929998,286453300,10.921078
2007-02-28,82.999997,85.600003,82.999997,84.610001,229868800,11.00956
2007-03-01,84.030001,88.309999,83.750001,87.06000300000001,353882200,11.328358
2007-03-02,86.770003,87.540001,85.210001,85.409999,215000100,11.113657
2007-03-05,85.89000300000001,88.65,85.76,86.32,209724900,11.232068
2007-03-06,87.8,88.309999,87.399998,88.190002,180796700,11.475394999999999
2007-03-07,88.049999,88.97,87.449999,87.719998,156571100,11.414237
2007-03-08,88.589998,88.720001,87.459999,87.999998,127752800,11.450671
2007-03-09,88.800003,88.849998,87.399998,87.96999699999999,112959000,11.446767
2007-03-12,88.07,89.989997,87.989998,89.870001,182352100,11.693997999999999
2007-03-13,89.409997,90.599998,88.400001,88.400001,216972700,11.50272
2007-03-14,88.599998,89.999997,87.92000300000001,89.999997,199146500,11.710913
2007-03-15,89.960003,90.359999,89.310001,89.570001,139874700,11.654962
2007-03-16,89.54,89.989997,89.320002,89.590001,142926000,11.657564
2007-03-19,90.240003,91.549999,89.590001,91.130003,178240300,11.857951
2007-03-20,91.350001,91.839999,91.060001,91.479998,122229100,11.903493
2007-03-21,91.990003,94.000002,91.650002,93.86999899999999,171724000,12.214483
2007-03-22,93.730002,94.35999699999999,92.999999,93.960001,140373100,12.226194
2007-03-23,93.35,94.069997,93.299999,93.519998,112721000,12.16894
2007-03-26,93.990002,95.899999,93.299999,95.849998,216246800,12.472123
2007-03-27,95.710001,96.83,94.999998,95.460002,233013200,12.421375999999999
2007-03-28,94.880002,95.400001,93.150002,93.239998,235584300,12.132506
2007-03-29,94.19,94.19,92.230001,93.750003,181430900,12.198869
2007-03-30,94.280002,94.679997,92.75,92.909997,150139500,12.089566
2007-04-02,94.13999799999999,94.250001,93.02,93.650001,125498100,12.185857
2007-04-03,94.13999799999999,95.229997,93.760003,94.5,145983600,12.29646
2007-04-04,94.93999699999999,95.140001,94.129998,94.27000100000001,119196000,12.266532000000002
2007-04-05,94.119998,94.679997,93.519998,94.679997,88879000,12.319881
2007-04-09,95.210003,95.299998,93.04,93.650001,103335400,12.185857
2007-04-10,93.670001,94.260001,93.410002,94.250001,88116700,12.263929
2007-04-11,93.9,93.950001,92.32999699999999,92.590003,137254600,12.047928
2007-04-12,92.039997,92.31000300000001,90.72,92.190001,164168900,11.99588
2007-04-13,90.899998,91.400002,90.059999,90.240003,179985400,11.742142999999999
2007-04-16,90.569997,91.499998,90.250003,91.430003,152258400,11.896988
2007-04-17,92.000003,92.300003,89.699997,90.349998,187980100,11.756456
2007-04-18,90.160001,90.850003,89.600001,90.4,116011000,11.762962
2007-04-19,90.190001,91.249999,89.83,90.270003,106478400,11.746047
2007-04-20,90.889997,91.179997,90.550003,90.969999,130694900,11.837131
2007-04-23,91.59,93.79999699999999,91.42000300000001,93.509997,195072500,12.167639
2007-04-24,93.960001,96.39000300000001,91.3,93.239998,263813200,12.132506
2007-04-25,94.23,95.400001,93.79999699999999,95.349999,296786000,12.407063
2007-04-26,101.58000200000001,102.500003,98.3,98.839999,434444500,12.861186
2007-04-27,98.179997,99.949998,97.69,99.919997,174850900,13.001716
2007-04-30,100.090001,101.000002,99.66999799999999,99.800001,154127400,12.986102
2007-05-01,99.590003,100.35,98.549999,99.47,133130900,12.943162
2007-05-02,99.649998,100.539998,99.47,100.390001,126286300,13.062874
2007-05-03,100.730002,101.449999,100.009999,100.400002,144019400,13.064175
2007-05-04,100.79999699999999,101.600002,100.499997,100.809998,95496800,13.117524
2007-05-07,101.07999699999999,104.349998,101.010002,103.920002,215389300,13.522201999999998
2007-05-08,103.469998,105.149997,103.419997,105.060001,195999300,13.670539999999999
2007-05-09,104.909998,106.959998,104.889997,106.880003,179439400,13.907360999999998
2007-05-10,106.629997,108.840001,105.920001,107.34,299314400,13.967217000000002
2007-05-11,107.740003,109.13000100000001,106.780001,108.739999,163424100,14.149385999999998
2007-05-14,109.61999899999999,110.000001,108.250001,109.36,162986600,14.230062
2007-05-15,109.569998,110.199999,106.48,107.519998,238628600,13.990638
2007-05-16,108.530001,108.830001,103.419997,107.34,281691900,13.967217000000002
